class_idx,class_name,baseline_acc,ablated_acc,delta
12,T follicular helper cell,0.35714285714285715,0.33640552995391704,-0.020737327188940113
3,"CD16-negative, CD56-bright natural killer cell, human",0.7566765578635015,0.7403560830860534,-0.016320474777448135
17,"central memory CD4-positive, alpha-beta T cell",0.3820297349709114,0.36716224951519066,-0.014867485455720753
25,"erythroid progenitor cell, mammalian",0.7108433734939759,0.6987951807228916,-0.012048192771084265
11,IgM plasma cell,0.8617511520737328,0.8571428571428571,-0.004608294930875667
45,unswitched memory B cell,0.6299212598425197,0.6272965879265092,-0.002624671916010457
31,mature NK T cell,0.8268059181897301,0.8246301131418625,-0.0021758050478676294
23,"effector memory CD8-positive, alpha-beta T cell",0.8922068463219228,0.8914785142024764,-0.0007283321194464509
39,"naive thymus-derived CD8-positive, alpha-beta T cell",0.9404117009750813,0.939689418562658,-0.0007222824124233362
13,T-helper 1 cell,1.0,1.0,0.0
15,T-helper 2 cell,0.5,0.5,0.0
24,erythrocyte,0.8648648648648649,0.8648648648648649,0.0
8,"ILC1, human",0.9090909090909091,0.9090909090909091,0.0
9,IgA plasma cell,0.7917808219178082,0.7917808219178082,0.0
27,"group 2 innate lymphoid cell, human",1.0,1.0,0.0
1,"CD14-low, CD16-positive monocyte",0.9784688995215312,0.9784688995215312,0.0
28,hematopoietic precursor cell,1.0,1.0,0.0
32,megakaryocyte,0.8571428571428571,0.8571428571428571,0.0
33,monocyte,0.9917355371900827,0.9917355371900827,0.0
26,gamma-delta T cell,0.7855126999059266,0.7855126999059266,0.0
22,"effector memory CD4-positive, alpha-beta T cell",0.7027027027027027,0.7027027027027027,0.0
19,dendritic cell,0.9705882352941176,0.9705882352941176,0.0
6,"CD4-positive, alpha-beta T cell",1.0,1.0,0.0
7,"CD8-positive, alpha-beta T cell",0.9467680608365019,0.9467680608365019,0.0
35,myeloid dendritic cell,0.908641975308642,0.908641975308642,0.0
42,plasmacytoid dendritic cell,0.9947460595446584,0.9947460595446584,0.0
44,regulatory T cell,0.7142857142857143,0.7142857142857143,0.0
41,plasmablast,0.9092240117130308,0.9092240117130308,0.0
34,mucosal invariant T cell,0.8114558472553699,0.8114558472553699,0.0
36,myeloid lineage restricted progenitor cell,1.0,1.0,0.0
43,platelet,0.993705743509048,0.994492525570417,0.0007867820613690624
38,"naive thymus-derived CD4-positive, alpha-beta T cell",0.8733491030948157,0.8747289572245219,0.001379854129706204
40,natural killer cell,0.9414348462664714,0.9428989751098097,0.0014641288433382416
29,immature B cell,0.7040133779264214,0.705685618729097,0.0016722408026755842
10,IgG plasma cell,0.9163498098859315,0.9182509505703422,0.0019011406844107182
21,"effector CD8-positive, alpha-beta T cell",0.8694310511089681,0.8719382835101254,0.0025072324011572444
2,CD14-positive monocyte,0.9229115706767475,0.9260247572455711,0.003113186568823645
18,class switched memory B cell,0.8080593849416755,0.8112407211028632,0.0031813361611876534
4,"CD16-positive, CD56-dim natural killer cell, human",0.8177886694536544,0.8211042237278362,0.0033155542741818422
5,"CD34-positive, CD38-negative hematopoietic stem cell",0.8481675392670157,0.8534031413612565,0.005235602094240788
16,T-helper 22 cell,0.8700440528634361,0.8755506607929515,0.005506607929515406
37,naive B cell,0.5737954675299943,0.579318225099981,0.005522757569986658
0,B cell,0.8366890380313199,0.843400447427293,0.006711409395973145
20,"dendritic cell, human",0.8019169329073482,0.8242811501597445,0.022364217252396235
